	virus tax id	virus name	host tax id	Kingdom	Phylum	Class	Order	Family	Genus	Species	7	8
35	46014	Acholeplasma virus L2	2148.0	bacteria	 tenericutes	 mollicutes	 acholeplasmatales	 acholeplasmataceae	 acholeplasma			
36	1977403	Acholeplasma virus MV-L51	2148.0	bacteria	 tenericutes	 mollicutes	 acholeplasmatales	 acholeplasmataceae	 acholeplasma			
37	1589747	Achromobacter phage 83-24	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
38	1416009	Achromobacter phage JWAlpha	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
39	1416008	Achromobacter phage JWDelta	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
40	1589748	Achromobacter phage JWF	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
41	1589746	Achromobacter phage JWX	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
42	1610509	Achromobacter phage phiAxp-1	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
43	1664246	Achromobacter phage phiAxp-2	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
44	1664247	Achromobacter phage phiAxp-3	85698.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 alcaligenaceae	 achromobacter			
64	1229761	Acidithiobacillus phage AcaML1	637389.0	bacteria	 proteobacteria	 acidithiobacillia	 acidithiobacillales	 acidithiobacillaceae	 acidithiobacillus			
65	2010329	Acidovorax phage ACP17	80869.0	bacteria	 proteobacteria	 betaproteobacteria	 burkholderiales	 comamonadaceae	 acidovorax			
66	889876	Acinetobacter phage AB1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
67	1273713	Acinetobacter phage AB3	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
68	1235824	Acinetobacter phage Abp1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
69	2015804	Acinetobacter phage AbP2	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
70	762660	Acinetobacter phage Ac42	469.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae				
71	760732	Acinetobacter phage Acj61	40214.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
72	760939	Acinetobacter phage Acj9	40214.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
73	154784	Acinetobacter phage AP205	469.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae				
74	154784	Acinetobacter phage AP205	70347.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
75	1187128	Acinetobacter phage AP22	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
76	1221835	Acinetobacter phage Bphi-B1251	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
77	1647373	Acinetobacter phage Fri1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
78	1243183	Acinetobacter phage IME-AB2	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
79	1735582	Acinetobacter phage IME200	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
80	1458669	Acinetobacter phage IME_AB3	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
81	1792222	Acinetobacter phage LZ35	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
82	1406779	Acinetobacter phage Petty	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
