#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
"E.coli and Shigella","AZ-TG60279",,"PDT000003613.2","2014-02-26T22:03:16Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442787",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60339",,"PDT000003614.2","2014-02-26T22:03:16Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442792",,"ampC,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60375",,"PDT000003670.2","2014-02-26T23:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442795",,"blaCMY-2,blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56472",,"PDT000003674.2","2014-02-26T23:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442831",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56219",,"PDT000003774.2","2014-02-27T00:03:10Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442776",,"blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60303",,"PDT000003780.2","2014-02-27T00:03:10Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442789",,"blaEC,sul2","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60363",,"PDT000003783.2","2014-02-27T00:03:10Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442794",,"blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56464",,"PDT000003793.2","2014-02-27T00:03:10Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442828",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60413",,"PDT000003795.2","2014-02-27T00:03:10Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442830",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60508",,"PDT000003796.2","2014-02-27T00:03:10Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442832",,"blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56150",,"PDT000003797.3","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442850",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60304",,"PDT000003799.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442852",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60435",,"PDT000003800.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442853",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60445",,"PDT000003801.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442854",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60736",,"PDT000003802.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442855",,"aadA5,blaEC,blaTEM-1,catB3,dfrA1,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60755",,"PDT000003803.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442856",,"aadA1,aph(3'')-Ib,blaEC,blaSHV,blaTEM-1,dfrA1,qacEdelta1,sul1,sul2,tet(A),tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60318",,"PDT000003804.3","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442857",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,sul1,tet(B)","PDG000000004.1583"
